Q7_1,Q8,Q10,Q29,Q6,,
0,"Reading responses/Canvas posts/etc.,Papers",,"The class does not follow a logical order. Work is returned very late and although Fleeter is available to meet, he often rambles about unrelated topics during meetings and  class. Overall, I found the class very frustrating use of time.",4-Mar,1,1
0.5,"Readings,Papers",Good for an S/NC intro to philosophy as you can still learn most of the material by attending class without doing the readings,"Very thorough coverage of the material through analyzing the readings during class. We did not have any interaction with other students though, which I wish we could have.",1,FALSE,0
0.5,"Readings,Reading responses/Canvas posts/etc.,Exams (in-class),Projects (individual)",Take it!,"Prof Rice was a great lecturer, and always took questions. She was available during office hours and helpful! ",1,FALSE,0
0.5,"Readings,Labs,Projects (individual),Projects (group)","Relaxed course, little homework, but great for learning lab skills",Always helpful and open to questions,1,FALSE,0
0.5,"Readings,Homework (online),Exams (in-class)",The course content is really interesting. I recommend taking it S/NC so you can enjoy lecture without worrying about grades too much. It’s an engaging introduction to science. Definitely take this course regardless of concentration!,"Lecture-captured. PowerPoint-based lecture with occasional videos. You can raise your hand in lecture in ask questions, but the lecture hall is so big that nobody does. He does a really good job presenting live while also catering to those who watch lecture-capture by describing anything he does on stage.",1,FALSE,0
0.5,"Quizzes,Exams (in-class)",,"I liked the teaching style. However, at times it was difficult to know the important ideas that will be tested on the quizzes.  ",1,1,1
0.5,"Homework (on paper),Exams (in-class)","Professor Kellner is an amazing lecturer, definitely one of the best at Brown","Very clear and direct, which made for very effective communication of information",2-Jan,FALSE,0
0.5,,its easy and pretty relevant ,,2-Jan,FALSE,1
0.5,"Readings,Reading responses/Canvas posts/etc.,Homework (online),Exams (in-class)",It's exclusively memorization,,4-Jan,FALSE,1
0.5,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Quizzes,Papers,Exams (in-class),Exams (take-home),Labs,Projects (individual),Projects (group)","Don Stanford is a wonderful professor who is very passionate about his class. If asked, he will help students with any needs and is a terrific person overall. ",,4-Jan,FALSE,1
0.5,Quizzes,Just pay attention in class and take notes and you'll do fine in the class. Sit closer to the front of the classroom because Professor Simmons is kind of quiet. ,"Professor Simmons was reluctant to use powerpoint to teach and instead insisted on verbally conveying the information, which made it difficult for us to keep up with. His diagrams of the auditory systems could get out of hand and very messy at times. However, he is very accomodating and cares about his students. ",4-Mar,FALSE,0
0.5,"Homework (online),Exams (in-class)",,a great lecturer,4-Mar,1,1
1,"Readings,Papers,Exams (take-home)","The readings are not completely necessary, but reference to readings is required in take-home exams and papers, so you should read the sections that pertain to the exam/essay prompts at the very least. ","Arenberg spends much of class talking about current day politics, which can definitely get him to fall behind on course material, but makes the class so much more interesting and applicable. He is amazing with encouraging questions and discussion even in a massive lecture class. ",1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Papers,Projects (group)","It is heavily rooted in Christianity, so if you are not familiar with this, be ready to hear some new perspectives ","Flannigan was very hands off in class and allowed the students lead discussion almost exclusively. However, he would occasionally chime in with thoughts that were really worthwhile and insightful. It was a good way to encourage students discussion without much control",1,FALSE,0
1,"Homework (online),Papers,Labs,Projects (individual),Projects (group)","This is a heavy lab and project based class with group work also heavily involved so if you are interested in getting into research or working in a lab environment, this is a great class. ","Professor Achilli was not only a great teacher, but a great person and someone you could talk to both in and out of class on any topic. She was very responsive to emails and always encouraged questions in class and for us to problem solve ourselves. She also taught material in pre-lab lectures very well and was always helpful when we came across issues. ",1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Homework (online),Exams (in-class),Exams (take-home),Labs",Reading quizzes super helpful for preparing for exams,"PowerPoint slides posted before class, engaging for the most part but sometimes slide material could be too dense and hard to follow.",1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Papers,Exams (take-home)","the professor is monotone but don't let that turn u off, the content is fascinating and he's so knowledgeable and his voice becomes kind of soothing about 2/3 classes in.","he basically reads from his notes in a monotone voice for the duration of the class, which normally I would hate but i kinda liked it by the end",1,FALSE,0
1,"Homework (on paper),Homework (online),Quizzes,Exams (in-class),Exams (take-home)",It is very basic and does not do game theory justice. ,It was very effective and he’s very passionate.,1,FALSE,0
1,"Homework (on paper),Homework (online),Exams (in-class),Exams (take-home)",Honestly dont know if it was worth taking. Pretty disorganized and don't feel like I got enough out of it,Not sure. Overall just don't feel like I got enough out of it,1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Quizzes,Papers,Exams (in-class),Projects (individual)",The class sizes are really small. This does not negatively affect the class in any way but it is significant. ,The instructor always talked Turkish in class and tried very hard never to talk english (other than when she would be translating a word) which made the environment ideal for learning a language.,1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Papers,Exams (in-class)",Good class for non concentrators! ,No time for questions in class but good otherwise ,1,FALSE,0
1,"Readings,Papers",Definitely a great class to learn about miles Davis and jazz generally! ,Great teaching style! ,1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Exams (in-class)",This is a really enjoyable class that anyone can take and enjoy. No background knowledge required.,Lectures were fun and teacher was energetic.,1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Quizzes,Papers,Exams (in-class),Exams (take-home),Labs,Projects (individual),Projects (group)",it is easy and fun ,"He  was enthusiastic, but not very focused. ",1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Papers,Exams (in-class)","The professor gets through a lot of material in class, so it is important to keep up. However, he was willing to slow down if needed, and you learn a lot if you pay attention. ",It would have been more helpful if the photographer’s name was sometimes on the slides as well as the handout.,1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Projects (individual)",It's entertaining—take it!,It was fun when she gave us exercises to do as a class.,1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Quizzes,Papers,Exams (in-class),Exams (take-home),Labs,Projects (individual),Projects (group)","there's cool interactive lessons (i.e. touching ancient roman coins with gloves and taking a ""field trip"" to the marcus aurelius status on the quiet green","almost entirely lecture based, but she is clearly very passionate about the subject and there are plenty of images to keep you engaged",1,FALSE,0
1,"Readings,Papers",take it it's amazing!!!,bob is genuinely the greatest. i cannot stress this enough.,1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Quizzes,Papers,Exams (in-class),Exams (take-home),Labs,Projects (individual),Projects (group),Other (please describe)","please please take it! Ira Wilson is a phenomenal professor who is clearly very passionate and very knowledgable about the subject matter. Regardless of your concentration, this class will give you a great introduction to the american healthcare system, a system that most of us will have to deal with after college.","entirely lecture based; he moves fast and the slides are mostly text, but he does have to pack in an incredibly dense amount of information in a short period of time.",1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Papers,Exams (in-class)","You will learn so much about photography, but also so much about art and history in general. I'm someone who hated modern art, but after this class, I can now understand and appreciate it. I recommend it to anyone, regardless of concentration, I always looked forward to class. ","I liked it, it doesn't get bogged down by awkward silences or irrelevant questions, Dr. Nichols just speaks the whole class with a slide show presentation. I felt very privileged to hear him teach, he definitely knows what he's talking about and knows some of the photographers we discuss in class personally. However, I know some people wished there was more discussion during class, I personally disagree, but it's a matter of preference.",1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Homework (online),Exams (in-class),Exams (take-home),Labs","Professor Pober is an amazing lecturer and extremely passionate about the class! If you have doubts, you should definitely take this class!","pre online: Prof lectured with aid of slides, but mainly went through key terms and equations on blackboard; had lots of in-class demos that helped us to understand concepts
post online: Prof lectured from the basement of his house with aid of slides, used a small whiteboard, but it was difficult to fit a lot onto it (I don't blame him though, he did his best despite the circumstances)
was very supportive of students and open to needs even after class went online",1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Papers,Exams (take-home),Projects (group)",readings more helpful than in-class notes,does not use powerpoint slides but they would be appreciated. will repeat information if you miss it. ,1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Papers,Exams (in-class),Exams (take-home)","It is an absolutely fantastic class. Professor Morone is an amazing lecturer and very enthusiastic. The course was an enjoyable experience, as I was rarely stressed about work or grades and instead focused on learning the interesting material. All around a wonderful class that everyone at Brown should try to take.","Professor Morone is extremely engaging and charismatic. I felt like I was watching a show at his lectures. He kept my attention for the entire class time. He would run up and down the aisles asking students in the audience questions, which was a great way to keep the students engaged.",1,FALSE,0
1,"Homework (on paper),Exams (in-class),Exams (take-home)","Greg is the best. If it is online, though, due to covid, the midterm is brutally long",He's great,1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Quizzes,Papers,Exams (in-class),Exams (take-home),Labs,Projects (individual),Projects (group)",Can sometimes be technical and sometimes theoretical,live coding in class and discussion ,1,FALSE,0
1,"Quizzes,Exams (in-class)",Its important to take good class notes because the slides are not shared.,Professor Simmons' lectures consisted solely of slides. His drawn out diagrams were conceptually helpful.,1,FALSE,0
1,"Reading responses/Canvas posts/etc.,Homework (online),Papers,Projects (group)",A very easy and fun 4th class to take with a legendary professor.,Hazeltine presented slides that correlated with the textbook readings and were very informative.,1,FALSE,0
1,"Readings,Exams (in-class),Exams (take-home)",Would definitely recommend taking S/NC because the only graded assignments are the three exams,Professor Hayden was super passionate.,1,FALSE,0
1,"Readings,Homework (on paper),Quizzes,Papers,Exams (in-class),Projects (group)",It is so much fun and really interesting!,"Professor Fearon would present us weekly with ethical dilemmas she has faced that relate to the weeks topic which was always interesting. One group would do a presentation each week which also always included a game and a lot of class participation, which was fun.",1,FALSE,0
1,"Readings,Papers,Projects (group)",Great course for hands-on experience with dissecting frogs and aplysia (sea slugs). I gained really cool experience and skills!,"Professor Stein is the best! He is patient, passionate about the material, and overall one of my favorite professors at Brown.",1,FALSE,0
1,"Readings,Homework (on paper),Exams (in-class),Projects (individual),Projects (group)",It's fun and interesting and I learned a lot,"He is very passionate about the material and the class and actively works to make the class interesting and dynamic
",1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Papers,Exams (take-home)","This class is an easy, interesting one if you like psycholinguistics. I did not expect this class to be so technical, though, and I personally should have taken something closer to the philosophy of language rather than psycholinguistics. There were a lot of technicals about how humans learn language that I found to be boring.","Professor Morgan is a good, friendly professor. However, he talks quite slowly, which I found difficult to pay attention to during lecture. Also, the course requirements were not particularly clear. He is a good professor for people who are already interested in the subject, but for outsiders it was hard to grasp onto his lectures.",1,FALSE,0
1,"Readings,Homework (online),Quizzes,Papers,Exams (in-class)","Extremely relevant class to take and I highly encourage it to all students. Dr. Wilson is an amazing professor to learn from because he is so knowledgable. Before this class, I had no understanding of the healthcare system at all and now I feel as though I have a better understanding than most people my age.",Dr. Wilson's teaching was extremely effective as he was moving through slides efficiently for the whole class period.,1,FALSE,0
1,"Homework (on paper),Exams (in-class),Exams (take-home)",Bjorn Sandstede is FANTASTIC,He was clear and very receptive to student needs. Just a great great class.,1,FALSE,0
1,"Homework (on paper),Exams (in-class)","If you took micro, do not take this course. It is extremely repetitive.",He was clear and passionate. His videos had a very high production quality.,1,FALSE,0
1,"Readings,Labs,Projects (individual),Projects (group)",It's an amazing class! It's not hard (I took it as a 5th class) as there is no homework for the most part. It's just 4 hours of straight lab time each week (working with cells and advanced lab equipment from the first week). I highly recommend it!,"Dr. Achilli is an amazing teacher and is super interested in students and their experience. She's one of the most invested professors I've had at Brown, as well as an incredibly smart and passionate researcher.",1,FALSE,0
1,"Readings,Quizzes,Papers,Projects (individual),Projects (group)",It is horrible-the teacher is the worst I've had at brown,It's dry and terrible,1,FALSE,0
1,"Readings,Papers","It's really eye-opening, you don't have to put too much effort in if you don't want to, lectures are fascinating. ","Michael and Anand are passionate, funny, and create a community. They can be a bit discursive, but it's a part of the ""excited historians"" charm. In the future, the class would benefit from more student engagement besides asking questions in class, like more formal discussion or small projects.",1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Quizzes,Exams (take-home),Projects (individual)","This course was extremely enjoyable. Lectures were very interesting as Professor Neumann spoke with real passion and included a variety of multimedia presentations. I especially appreciated the dedication of my TA as they not only conducted section gracefully in a way that made the weekly meetings enjoyable, but also were a valuable resource when I started preparing graded works. ","Professor Neumann would often obviously become overcome with excitement when discussing his material; I learned a lot from him, and was able to experience the simple pleasure of listening to him talk about his favorite structures. Lectures were low stress and I appreciated all of them individually. However, once the class went digital, Professor Neumann sometimes went over time.",1,FALSE,0
1,"Readings,Papers","It's a great introductory course to sociology, no previous experience needed. ",Professor Elliott is a very powerful lecturer who is open to questions. ,1,FALSE,0
1,"Readings,Quizzes,Exams (in-class),Exams (take-home)",This class is easy if you go to lecture.,"All lecture-based.  At times he goes a little too fast to comprehend everything on the slides, but he does a good job simplifying the major points of his lectures.",1,FALSE,0
1,"Readings,Exams (in-class)",This is an interesting course. You will need to read the e textbook for exams though.,Hayden is a good enough lecturer; he is engaging. His powerpoints are cluttered and poorly organized. There could be more space for discussion. I think the TA sections were meant to be discussion sections however this idea was not implemented well.,1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Quizzes,Papers,Exams (in-class),Other (please describe)","It's honestly a great course. It opened my eyes to a lot of things that I feel like I knew, but took for granted. Would highly recommend taking this class.",Prof. Spearin was very energetic and high energy. She lectured effectively using slides. She was great at encouraging small-group discussion as well as class participation. ,1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Quizzes,Papers,Exams (in-class),Exams (take-home)",N/a,She provided really helpful slides which helped visual learners (like me) to understand the material better and create more organized notes  ,1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Exams (in-class),Labs",Take it!!!!! An absolutely incredible class ,Prof Pober is super passionate and kind ,1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Exams (in-class),Labs","It’s a pretty easy class and I highly recommend taking it, although I already liked astronomy beforehand which helped a lot.",Professor Pober uses slides but doesn’t rely on them. The material you learn is through him talking and drawing out/writing things on the blackboard. He also performs experiments/displays in class to demonstrate certain concepts. He is a very good teacher and the pace of the class is great.,1,FALSE,0
1,"Homework (online),Projects (individual)","good intro for computational physics, not as in depth as expected.",The interactive notebooks were fantastic tools for learning the material.  Time in class and expectations could have been better managed.,1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Quizzes,Papers,Exams (in-class),Exams (take-home),Labs,Projects (individual),Projects (group)","very fun, valuable, laid back environment","direct, laid back, casual, learn as you go, anecdotal ",1,FALSE,0
1,"Homework (online),Quizzes,Projects (individual)",Prof. Simmons is very relaxed and just a nice guy.,He was very passionate.,1,FALSE,0
1,"Homework (on paper),Exams (in-class),Exams (take-home)","don't know the difference between 1650 and 1655, but i think 1655 is quite fair and not as hard as i imagined","Hui is super passionate about the material! He's one of my fav profs. He is patient and very approachable. He'll answer your questions during OH/through email/on piazza no matter how ""dumb"" it is. Though he sometimes goes through things fast, but you can stop him and ask questions during lecture whenever needed",1,FALSE,0
1,"Homework (on paper),Quizzes,Exams (in-class)","You should have a strong grasp of probability, statistics, and MATLAB programming before taking this course.",He was very clear and direct but sometimes spent too much time with a proof and could be a bit hazy about the motivation behind some topics.,1,FALSE,0
1,"Homework (online),Exams (in-class)","Best class you’ll ever take at brown, lecturer is amazing ",Great at conveying material and very passionate ,1,FALSE,0
1,"Homework (online),Exams (in-class)",good fun if you're vaguely into biology,"lecture, he's chill",1,FALSE,0
1,"Readings,Homework (online),Exams (in-class)",I definitely recommend it. It's a great fourth class to take because it's really interesting and the workload is completely manageable ,Professor Kellner is great!! Very caring and passionate and good at explaining things. I don't think I've ever had a professor who takes student feedback so seriously ,1,FALSE,0
1,"Readings,Homework (online),Exams (in-class)","Professor Kellner is one of Brown's finest. It is worth taking this course for him alone as his passion, even from the first lecture onwards, is undeniable.","Professor Kellner utilized presentations, lecture capture, and a course piazza page as effective tools to allow students, whether in class or absent, to have access to all relevant material. Due to the size of the class, questions and comments weren't often fielded, but, when they were, Professor Kellner was always exceedingly encouraging.",1,FALSE,0
1,"Homework (online),Exams (in-class)",Really interesting course with a wide range of learned material,"Taught with powerpoint slide, very effective. Professor worked very well with students and accommodated needs exceptionally well.",1,FALSE,0
1,"Readings,Homework (on paper),Exams (in-class)","Very enjoyable, Kellner is an absolute LEGEND",Large lecture follows along with slides,1,FALSE,0
1,"Homework (online),Exams (in-class)",Take the opportunity to meet Prof. Kellner one-on-one during his office hours!  He's a fascinating professor.,"Thematic, theatrical in a critical-thinking-type way, passionate.  Lecture style and presentation were distinctive, and as such I wish the lecture capture also included the video feed of the lecture itself and not just the Powerpoint.",1,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Exams (in-class),Labs",This was definitely my favorite class I've taken at Brown! I learned so much but also had a lot of fun in the labs and in lecture. Professor Pober was amazing and was such a good lecturer. I would highly recommend taking this sometime during your time at Brown!,,1,FALSE,1
1,"Readings,Homework (on paper),Exams (in-class)",,"Definitely very receptive to student needs, and I appreciated her making the class mandatory pass/ fail. Often encouraged questions despite being a huge class. The TAs were super helpful and I think TA sections was the main reason I did well in this class.",1,1,1
1,"Readings,Quizzes,Papers,Exams (in-class)",,Professor Wilson was a very engaging and passionate professor. He really cares about his students and works hard to make the class as interesting and relevant to our lives as possible. ,1,1,1
1,"Readings,Reading responses/Canvas posts/etc.,Papers",,lots of free reign,1,1,1
1,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Quizzes,Papers,Exams (in-class),Exams (take-home),Labs,Projects (individual),Projects (group),Other (please describe)",no,,1,FALSE,1
1,"Readings,Labs,Projects (individual),Projects (group)",,Demonstrated everything and very open to questions. Effective. ,1,1,1
1,"Readings,Exams (in-class),Exams (take-home)",,"I appreciated Professor Hayden's focus on research and how he painted a story of the development of psychology - and a sense of where it is going now. I came into this class never having taken a psychology course before, and he made the material very accessible. ",1,1,1
1,"Homework (on paper),Exams (in-class)",,"Very passionate yet laid-back lecturer. Super approachable, incorporated music into his classes, and presented material in a very easy-to-follow-along manner - almost like telling a story. He writes notes with you so you never have to worry about him going too fast.",1,1,1
1,,These professors are the best.,,1,FALSE,1
1,,"This class is a total waste of time, but you have to take it as part of the brown in washington program. Just do the work and focus your time and energy on the other, much more interesting classes in DC",,1,FALSE,1
1,"Readings,Reading responses/Canvas posts/etc.,Papers,Projects (individual)",,Relatively effective. ,1,1,1
1,"Homework (on paper),Quizzes,Projects (individual)",Not super hard. Easy A,,1,FALSE,1
1,"Homework (on paper),Labs",I was one of the few non pre-med students in this class. I would caution prospective students about the material in the class — it is more skewed towards lab work than stem cell engineering.,,1,FALSE,1
1,"Reading responses/Canvas posts/etc.,Papers,Exams (in-class)",,The teaching style was frequently disorganized and all over the place,1,1,1
1,"Readings,Projects (individual)",,"Sometimes it can seem a little overwhelming or hard to follow because Professor Kennedy covers so much content and speaks so esoterically. But it's a good thing; his teaching style is that he sort of gives ""food for thought""-esque lectures, and it's up to you how much you engage with them and what direction you want to take your thinking/take class discussion. If you're someone who needs a lot of structure and specific, more hard-set directions, it might be difficult to adjust, but if you're interested in the topic find some way of expressing it, you'll be fine. 
I think it would be helpful/more effective, though, if he shared the slides with you after class just so you can read and digest all the text he puts on them (which is always a lot). ",1,1,1
1,"Reading responses/Canvas posts/etc.,Papers,Exams (in-class)","it's a really engaging course, especially with prof kennedy. highly recommend for non-concentrators!",,1,FALSE,1
1,"Readings,Papers,Projects (individual)",,Professor was laid-back and very friendly. It created a nice learning environment because everyone was comfortable,1,1,1
1,"Homework (online),Labs",,"Dr. Stein is very hands-on and passionate about the material. The labs involve a lot of trial and error which can be frustrating, but his feedback is very useful.",1,1,1
1,"Homework (on paper),Exams (in-class),Exams (take-home)",,Bjorn is super clear and responsive! definitely helped made the class seem less difficult and abstract! Super recommended if you take classes with him,1,1,1
1,"Readings,Reading responses/Canvas posts/etc.,Quizzes,Exams (in-class)",,Fast lecturer but very interesting!,1,1,1
1,"Readings,Labs,Projects (group)",,"The demos we would get in the hood were extremely helpful---however, I felt throughout the course that I more or less (not always clear) understood how to do something, but I didn't conceptually understand what I was doing. I wish there had been more guidance/overview at the beginning of each class regarding what we were doing for the day, and also overall what was going on in our projects.",1,1,1
1,"Readings,Exams (in-class),Labs",,"Slow lecturer, some parts were boring and others went too quickly",1,1,1
1,"Readings,Homework (online),Exams (in-class)",The class is heavily multiple choice test-based. It's really helpful to keep up with the readings.,,1,FALSE,1
1,"Homework (online),Exams (in-class)",,Everything he does is effective. He is a god.,1,1,1
1,"Readings,Papers,Exams (in-class)",,"Prof. Malle was very passionate about the material of the course. He kept the class interesting by making jokes, by having the slides presented in a certain way, and by including video clips. While he does take questions, listening to someone talk for an hour and 20 minutes can get boring, so having more student engagement and having the students think more, rather than simply passively absorbing information, would help students stay awake.",1,1,1
1,"Readings,Homework (on paper),Homework (online),Exams (in-class),Exams (take-home)",It is great ,Hui is great,2-Jan,FALSE,0
1,"Readings,Homework (on paper),Exams (in-class)",Pretty boring,TA's were great! Instructors could be unorganized,2-Jan,FALSE,0
1,"Readings,Homework (on paper),Quizzes,Exams (in-class)",It's an excellent intro to the US healthcare system,"Extremely effective, enthusiastic, and smart",2-Jan,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Exams (in-class),Labs",its a good 4th class to take,great lecturer and great guy. very passionate ,2-Jan,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Exams (in-class),Exams (take-home),Labs",super fun! Pober is an amazing professor with a contagious passion for astronomy!,"good pace of lecturing, maybe even too slow which is amazing!",2-Jan,FALSE,0
1,"Papers,Exams (take-home),Projects (group)",,Very approachable and encouraged questions. A bit dry at times. Probably could be a little better synergy between the two professors when lecturing.,2-Jan,1,1
1,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Quizzes,Papers,Exams (in-class),Exams (take-home),Labs,Projects (individual),Projects (group),Other (please describe)",Only take it if you have an honest interest in cybersecurity. ,"A very monotone instructor making it very difficult to sit through over 1 hour of class. Readings and sections were far more interesting, and those help you learn. ",4-Jan,FALSE,0
1,Quizzes,"Very easy to do well in this class and just learn some cool things about hearing. Dr. Simmons is very nice and understanding. If you're pre-med, take this course, it is excellent for your science GPA","He was super chill, gave lectures and quizzes. Very straightforward class, as long as you pay attention in class, you'll be fine. Dr. Simmons knew what he was talking about",4-Jan,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Quizzes,Papers,Exams (in-class),Exams (take-home),Labs",Just don’t. Its very easy so you’ll get an A but I regret wasting my time on it. Vazira is disastrous. ,"No organization what so ever. Did not give us class online, recycled old lecture captures. Her topics are sporadic with no sense of direction. It’s unorganized and truly frustrating. TA’s are angels, but the instructor is a mess. ",4-Jan,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Papers,Exams (in-class)",low workload,he was passionate and knowledgeable; his lecture style and technological acumen was lacking,4-Jan,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Papers",Do not need to go to class at all! Section helpful.,"He is really passionate, but a little dry",4-Jan,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Papers,Exams (in-class)","take it for a grade, hard to learn when taking S/NC",amazing lecturer. so much passion. cried,4-Jan,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Quizzes,Papers,Exams (in-class),Exams (take-home),Labs,Projects (individual),Projects (group),Other (please describe)",really easy class even for nonconcentrators,n/a,4-Jan,FALSE,0
1,"Exams (in-class),Labs,Projects (individual)","Super fun class, Don Stanford is a great man and passionate about his students and the material. ","He taught through powerpoint slides, which were effective and the best way to learn.",4-Jan,FALSE,0
1,"Homework (online),Exams (in-class),Labs,Projects (individual)","Take it! It is such a useful class that teaches some pretty incredible skills!
",He was interesting and engaging! Highly recommend!,4-Jan,FALSE,0
1,"Readings,Papers","The readings are never discussed in class, so you can skim them for the papers you need to write. Lectures are the provide a foundation for all essays that need to be written. It is an easy course that is worth taking to gain an in depth perspective on the inner-workings of American federal government.",,4-Jan,FALSE,1
1,"Readings,Homework (on paper),Homework (online),Quizzes,Exams (in-class),Labs",It is an easy but tedious course.,The use of demonstrations and examples was extremely effective.,4-Mar,FALSE,0
1,Quizzes,Its a great fun course. Not too difficult. A good time.,Dr. Simmons is a funny character. He is definitely passionate about the content. His style was effective because the quizzes reflected what was taught. I enjoyed having him as a professor.,4-Mar,FALSE,0
1,"Readings,Reading responses/Canvas posts/etc.,Projects (group)","Yes, you'll get a good grade and get your WRIT requirement. But you will be bored every moment that you're in class.","It's not like he goes on tangents, the entire class is a tangent. He'll open PowerPoints completely unrelated to the course material, and then talk about something unrelated to the PowerPoint. Sometimes the PowerPoints would be randomly in Italian or Spanish. Sometimes he kept a single slide open for the whole class and didn't talk about it. He would always forget to give us the information about the project (which made up most of our grade) and we would have to fly blind.",4-Mar,FALSE,0
